"Block","Treatment","Horizon","Root_type","ID"
1,"CT","O","Fine",1
1,"CT","O","Coarse",NA
1,"CT","O","Erivag",3
1,"CT","M","Fine",4
1,"CT","M","Coarse",NA
1,"CT","M","Erivag",6
1,"F0.5","O","Fine",49
1,"F0.5","O","Coarse",NA
1,"F0.5","O","Erivag",NA
1,"F0.5","M","Fine",52
1,"F0.5","M","Coarse",NA
1,"F0.5","M","Erivag",54
1,"F1","O","Fine",73
1,"F1","O","Coarse",NA
1,"F1","O","Erivag",96
1,"F1","M","Fine",76
1,"F1","M","Coarse",NA
1,"F1","M","Erivag",78
1,"F2","O","Fine",97
1,"F2","O","Coarse",104
1,"F2","O","Erivag",111
1,"F2","M","Fine",100
1,"F2","M","Coarse",NA
1,"F2","M","Erivag",102
1,"F5","O","Fine",121
1,"F5","O","Coarse",134
1,"F5","O","Erivag",141
1,"F5","M","Fine",130
1,"F5","M","Coarse",NA
1,"F5","M","Erivag",132
1,"F10","O","Fine",25
1,"F10","O","Coarse",NA
1,"F10","O","Erivag",33
1,"F10","M","Fine",46
1,"F10","M","Coarse",NA
1,"F10","M","Erivag",NA
2,"CT","O","Fine",151
2,"CT","O","Coarse",158
2,"CT","O","Erivag",159
2,"CT","M","Fine",154
2,"CT","M","Coarse",NA
2,"CT","M","Erivag",162
2,"F0.5","O","Fine",175
2,"F0.5","O","Coarse",188
2,"F0.5","O","Erivag",177
2,"F0.5","M","Fine",178
2,"F0.5","M","Coarse",NA
2,"F0.5","M","Erivag",180
2,"F1","O","Fine",199
2,"F1","O","Coarse",NA
2,"F1","O","Erivag",201
2,"F1","M","Fine",208
2,"F1","M","Coarse",NA
2,"F1","M","Erivag",210
2,"F2","O","Fine",223
2,"F2","O","Coarse",NA
2,"F2","O","Erivag",225
2,"F2","M","Fine",226
2,"F2","M","Coarse",NA
2,"F2","M","Erivag",228
2,"F5","O","Fine",247
2,"F5","O","Coarse",NA
2,"F5","O","Erivag",NA
2,"F5","M","Fine",256
2,"F5","M","Coarse",NA
2,"F5","M","Erivag",258
2,"F10","O","Fine",271
2,"F10","O","Coarse",NA
2,"F10","O","Erivag",NA
2,"F10","M","Fine",274
2,"F10","M","Coarse",NA
2,"F10","M","Erivag",288
3,"CT","O","Fine",301
3,"CT","O","Coarse",320
3,"CT","O","Erivag",303
3,"CT","M","Fine",304
3,"CT","M","Coarse",NA
3,"CT","M","Erivag",306
3,"F0.5","O","Fine",325
3,"F0.5","O","Coarse",332
3,"F0.5","O","Erivag",327
3,"F0.5","M","Fine",328
3,"F0.5","M","Coarse",NA
3,"F0.5","M","Erivag",330
3,"F1","O","Fine",349
3,"F1","O","Coarse",NA
3,"F1","O","Erivag",357
3,"F1","M","Fine",352
3,"F1","M","Coarse",NA
3,"F1","M","Erivag",366
3,"F2","O","Fine",373
3,"F2","O","Coarse",NA
3,"F2","O","Erivag",NA
3,"F2","M","Fine",376
3,"F2","M","Coarse",389
3,"F2","M","Erivag",378
3,"F5","O","Fine",397
3,"F5","O","Coarse",NA
3,"F5","O","Erivag",405
3,"F5","M","Fine",400
3,"F5","M","Coarse",NA
3,"F5","M","Erivag",408
3,"F10","O","Fine",421
3,"F10","O","Coarse",422
3,"F10","O","Erivag",423
3,"F10","M","Fine",424
3,"F10","M","Coarse",NA
3,"F10","M","Erivag",NA
